agent;timestep;position;direction;status;given_command
0;0;None;e;waiting;wait
1;0;None;s;waiting;wait
0;1;None;e;waiting;wait
1;1;None;s;waiting;wait
0;2;None;e;waiting;wait
1;2;None;s;waiting;wait
0;3;None;e;waiting;wait
1;3;None;s;ready to depart;wait
0;4;None;e;waiting;wait
1;4;None;s;ready to depart;wait
0;5;None;e;waiting;wait
1;5;None;s;ready to depart;wait
0;6;None;e;waiting;wait
1;6;None;s;ready to depart;wait
0;7;None;e;waiting;wait
1;7;None;s;ready to depart;wait
0;8;None;e;waiting;wait
1;8;None;s;ready to depart;move_forward
0;9;None;e;waiting;wait
1;9;(23, 23);s;moving;wait
0;10;None;e;waiting;wait
1;10;(23, 23);s;stopped;wait
0;11;None;e;ready to depart;move_forward
1;11;(23, 23);s;stopped;wait
0;12;(14, 12);e;moving;wait
1;12;(23, 23);s;stopped;wait
0;13;(14, 12);e;stopped;wait
1;13;(23, 23);s;stopped;wait
0;14;(14, 12);e;stopped;wait
1;14;(23, 23);s;stopped;wait
0;15;(14, 12);e;stopped;move_forward
1;15;(23, 23);s;stopped;wait
0;16;(14, 13);e;moving;move_forward
1;16;(23, 23);s;stopped;wait
0;17;(15, 13);s;moving;move_forward
1;17;(23, 23);s;stopped;wait
0;18;(15, 14);e;moving;move_forward
1;18;(23, 23);s;stopped;wait
0;19;(15, 15);e;moving;move_forward
1;19;(23, 23);s;stopped;wait
0;20;(15, 16);e;moving;move_forward
1;20;(23, 23);s;stopped;move_forward
0;21;(15, 17);e;moving;move_right
1;21;(24, 23);s;moving;move_forward
0;22;(16, 17);s;moving;move_forward
1;22;(24, 24);e;moving;move_forward
0;23;(17, 17);s;moving;move_forward
1;23;(25, 24);s;moving;move_forward
0;24;(18, 17);s;moving;move_forward
1;24;(26, 24);s;moving;move_forward
0;25;(19, 17);s;moving;move_forward
1;25;(27, 24);s;moving;move_forward
0;26;(19, 18);e;moving;move_forward
1;26;(28, 24);s;moving;move_forward
0;27;(20, 18);s;moving;move_forward
1;27;(28, 23);w;moving;move_forward
0;28;(21, 18);s;moving;move_left
1;28;(28, 22);w;moving;move_forward
0;29;(21, 19);e;moving;move_forward
1;29;(28, 21);w;moving;move_forward
0;30;(22, 19);s;moving;move_forward
1;30;(28, 20);w;moving;move_forward
0;31;(23, 19);s;moving;move_forward
1;31;(28, 19);w;moving;move_forward
0;32;(24, 19);s;moving;move_forward
1;32;(28, 18);w;moving;move_forward
0;33;(25, 19);s;moving;move_forward
1;33;(27, 18);n;moving;move_forward
0;34;(26, 19);s;moving;move_forward
1;34;(26, 18);n;moving;move_forward
0;35;(27, 19);s;moving;move_forward
1;35;(25, 18);n;moving;move_forward
0;36;(28, 19);s;moving;move_forward
1;36;(24, 18);n;moving;move_forward
0;37;(28, 20);e;moving;move_forward
1;37;(23, 18);n;moving;move_forward
0;38;(28, 21);e;moving;move_forward
1;38;(22, 18);n;moving;move_forward
0;39;(28, 22);e;moving;move_forward
1;39;(21, 18);n;moving;move_forward
0;40;(28, 23);e;moving;move_forward
1;40;(20, 18);n;moving;move_forward
0;41;(28, 24);e;moving;move_left
1;41;(19, 18);n;moving;move_left
0;42;(27, 24);n;moving;move_forward
1;42;(19, 17);w;moving;move_forward
0;43;(26, 24);n;moving;move_forward
1;43;(18, 17);n;moving;move_forward
0;44;(25, 24);n;moving;move_forward
1;44;(17, 17);n;moving;move_forward
0;45;(24, 24);n;moving;move_forward
1;45;(16, 17);n;moving;move_forward
0;46;None;n;done;wait
1;46;(15, 17);n;moving;move_left
1;47;(15, 16);w;moving;move_forward
1;48;(15, 15);w;moving;move_left
1;49;(16, 15);s;moving;move_forward
1;50;(16, 14);w;moving;move_forward
1;51;(16, 13);w;moving;move_left
1;52;(17, 13);s;moving;move_forward
