agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;wait
1;0;None;e;waiting;wait
2;0;None;n;waiting;wait
0;1;None;s;waiting;wait
1;1;None;e;waiting;wait
2;1;None;n;waiting;wait
0;2;None;s;waiting;wait
1;2;None;e;ready to depart;move_forward
2;2;None;n;waiting;wait
0;3;None;s;waiting;wait
1;3;(16, 14);e;moving;move_forward
2;3;None;n;waiting;wait
0;4;None;s;waiting;wait
1;4;(16, 14);e;moving;move_forward
2;4;None;n;waiting;wait
0;5;None;s;waiting;wait
1;5;(16, 15);e;moving;wait
2;5;None;n;waiting;wait
0;6;None;s;waiting;wait
1;6;(16, 15);e;stopped;wait
2;6;None;n;waiting;wait
0;7;None;s;waiting;wait
1;7;(16, 15);e;stopped;wait
2;7;None;n;waiting;wait
0;8;None;s;waiting;wait
1;8;(16, 15);e;stopped;wait
2;8;None;n;waiting;wait
0;9;None;s;waiting;wait
1;9;(16, 15);e;stopped;wait
2;9;None;n;waiting;wait
0;10;None;s;waiting;wait
1;10;(16, 15);e;stopped;wait
2;10;None;n;waiting;wait
0;11;None;s;waiting;wait
1;11;(16, 15);e;stopped;wait
2;11;None;n;waiting;wait
0;12;None;s;waiting;wait
1;12;(16, 15);e;stopped;wait
2;12;None;n;waiting;wait
0;13;None;s;waiting;wait
1;13;(16, 15);e;stopped;wait
2;13;None;n;waiting;wait
0;14;None;s;waiting;wait
1;14;(16, 15);e;stopped;wait
2;14;None;n;waiting;wait
0;15;None;s;waiting;wait
1;15;(16, 15);e;stopped;wait
2;15;None;n;waiting;wait
0;16;None;s;waiting;wait
1;16;(16, 15);e;stopped;wait
2;16;None;n;waiting;wait
0;17;None;s;waiting;wait
1;17;(16, 15);e;stopped;wait
2;17;None;n;waiting;wait
0;18;None;s;waiting;wait
1;18;(16, 15);e;stopped;wait
2;18;None;n;waiting;wait
0;19;None;s;waiting;wait
1;19;(16, 15);e;stopped;wait
2;19;None;n;waiting;wait
0;20;None;s;waiting;wait
1;20;(16, 15);e;stopped;wait
2;20;None;n;waiting;wait
0;21;None;s;waiting;wait
1;21;(16, 15);e;stopped;wait
2;21;None;n;waiting;wait
0;22;None;s;waiting;wait
1;22;(16, 15);e;stopped;wait
2;22;None;n;ready to depart;move_forward
0;23;None;s;waiting;wait
1;23;(16, 15);e;stopped;wait
2;23;(13, 31);n;moving;move_forward
0;24;None;s;waiting;wait
1;24;(16, 15);e;stopped;wait
2;24;(12, 31);n;moving;move_forward
0;25;None;s;waiting;wait
1;25;(16, 15);e;stopped;wait
2;25;(11, 31);n;moving;move_forward
0;26;None;s;ready to depart;move_forward
1;26;(16, 15);e;stopped;wait
2;26;(10, 31);n;moving;move_forward
0;27;(24, 27);s;moving;move_forward
1;27;(16, 15);e;stopped;wait
2;27;(9, 31);n;moving;move_forward
0;28;(25, 27);s;moving;move_forward
1;28;(16, 15);e;stopped;wait
2;28;(8, 31);n;moving;move_forward
0;29;(26, 27);s;moving;move_forward
1;29;(16, 15);e;stopped;wait
2;29;(8, 30);w;moving;move_forward
0;30;(27, 27);s;moving;move_forward
1;30;(16, 15);e;stopped;wait
2;30;(8, 29);w;moving;move_forward
0;31;(28, 27);s;moving;move_forward
1;31;(16, 15);e;stopped;wait
2;31;(8, 28);w;moving;move_forward
0;32;(29, 27);s;moving;move_forward
1;32;(16, 15);e;stopped;wait
2;32;(8, 27);w;moving;move_forward
0;33;(29, 26);w;moving;move_forward
1;33;(16, 15);e;stopped;wait
2;33;(8, 26);w;moving;move_forward
0;34;(29, 25);w;moving;move_forward
1;34;(16, 15);e;stopped;wait
2;34;(8, 25);w;moving;move_forward
0;35;(29, 24);w;moving;move_forward
1;35;(16, 15);e;stopped;wait
2;35;(8, 24);w;moving;move_forward
0;36;(29, 23);w;moving;move_forward
1;36;(16, 15);e;stopped;wait
2;36;(9, 24);s;moving;move_forward
0;37;(29, 22);w;moving;move_forward
1;37;(16, 15);e;stopped;wait
2;37;(9, 23);w;moving;move_forward
0;38;(29, 21);w;moving;move_forward
1;38;(16, 15);e;stopped;wait
2;38;(10, 23);s;moving;move_forward
0;39;(29, 20);w;moving;move_forward
1;39;(16, 15);e;stopped;wait
2;39;(11, 23);s;moving;move_forward
0;40;(28, 20);n;moving;move_forward
1;40;(16, 15);e;stopped;wait
2;40;(12, 23);s;moving;move_forward
0;41;(28, 19);w;moving;move_forward
1;41;(16, 15);e;stopped;wait
2;41;(13, 23);s;moving;move_forward
0;42;(27, 19);n;moving;move_forward
1;42;(16, 15);e;stopped;wait
2;42;(13, 22);w;moving;move_forward
0;43;(26, 19);n;moving;move_forward
1;43;(16, 15);e;stopped;wait
2;43;(14, 22);s;moving;move_forward
0;44;(25, 19);n;moving;move_forward
1;44;(16, 15);e;stopped;wait
2;44;(14, 21);w;moving;move_forward
0;45;(24, 19);n;moving;move_forward
1;45;(16, 15);e;stopped;wait
2;45;(14, 20);w;moving;move_forward
0;46;(23, 19);n;moving;move_forward
1;46;(16, 15);e;stopped;wait
2;46;(15, 20);s;moving;move_forward
0;47;(22, 19);n;moving;move_forward
1;47;(16, 15);e;stopped;wait
2;47;(15, 19);w;moving;move_forward
0;48;(21, 19);n;moving;move_forward
1;48;(16, 15);e;stopped;wait
2;48;(16, 19);s;moving;move_right
0;49;(20, 19);n;moving;move_forward
1;49;(16, 15);e;stopped;wait
2;49;(16, 18);w;moving;move_forward
0;50;(19, 19);n;moving;move_forward
1;50;(16, 15);e;stopped;wait
2;50;(16, 17);w;moving;move_left
0;51;(18, 19);n;moving;move_forward
1;51;(16, 15);e;stopped;wait
2;51;(17, 17);s;moving;move_forward
0;52;(17, 19);n;moving;move_forward
1;52;(16, 15);e;stopped;wait
2;52;(17, 16);w;moving;move_forward
0;53;(16, 19);n;moving;move_forward
1;53;(16, 15);e;stopped;wait
2;53;(17, 15);w;moving;move_forward
0;54;(15, 19);n;moving;move_forward
1;54;(16, 15);e;stopped;wait
0;55;(15, 20);e;moving;move_forward
1;55;(16, 15);e;stopped;wait
0;56;(14, 20);n;moving;move_forward
1;56;(16, 15);e;stopped;wait
0;57;(14, 21);e;moving;move_forward
1;57;(16, 15);e;stopped;wait
0;58;(14, 22);e;moving;move_forward
1;58;(16, 15);e;stopped;wait
0;59;(13, 22);n;moving;move_forward
1;59;(16, 15);e;stopped;wait
0;60;(13, 23);e;moving;move_forward
1;60;(16, 15);e;stopped;wait
0;61;(12, 23);n;moving;move_forward
1;61;(16, 15);e;stopped;wait
0;62;(11, 23);n;moving;move_forward
1;62;(16, 15);e;stopped;move_forward
0;63;(10, 23);n;moving;move_forward
1;63;(16, 15);e;moving;move_forward
0;64;(9, 23);n;moving;move_forward
1;64;(16, 16);e;moving;move_forward
0;65;(9, 24);e;moving;move_forward
1;65;(16, 16);e;moving;move_forward
0;66;(8, 24);n;moving;move_forward
1;66;(16, 17);e;moving;move_forward
0;67;(8, 25);e;moving;move_forward
1;67;(16, 17);e;moving;move_forward
0;68;(8, 26);e;moving;move_forward
1;68;(16, 18);e;moving;wait
0;69;(8, 27);e;moving;move_forward
1;69;(16, 18);e;stopped;wait
0;70;(8, 28);e;moving;move_forward
1;70;(16, 18);e;stopped;wait
0;71;(8, 29);e;moving;move_forward
1;71;(16, 18);e;stopped;move_forward
0;72;(8, 30);e;moving;move_forward
1;72;(16, 18);e;moving;move_forward
0;73;(8, 31);e;moving;move_forward
1;73;(16, 19);e;moving;move_left
0;74;(9, 31);s;moving;move_forward
1;74;(16, 19);e;moving;move_left
0;75;(10, 31);s;moving;move_forward
1;75;(15, 19);n;moving;move_forward
0;76;(11, 31);s;moving;move_forward
1;76;(15, 19);n;moving;move_forward
0;77;(12, 31);s;moving;move_forward
1;77;(15, 20);e;moving;move_forward
0;78;(13, 31);s;moving;move_forward
1;78;(15, 20);e;moving;move_forward
0;79;(14, 31);s;moving;move_forward
1;79;(14, 20);n;moving;move_forward
0;80;(15, 31);s;moving;move_forward
1;80;(14, 20);n;moving;move_forward
0;81;(16, 31);s;moving;move_forward
1;81;(14, 21);e;moving;move_forward
0;82;(17, 31);s;moving;move_forward
1;82;(14, 21);e;moving;move_forward
0;83;(18, 31);s;moving;move_right
1;83;(14, 22);e;moving;move_forward
0;84;(18, 30);w;moving;move_forward
1;84;(14, 22);e;moving;move_forward
0;85;(18, 29);w;moving;move_forward
1;85;(13, 22);n;moving;move_forward
0;86;(18, 28);w;moving;move_forward
1;86;(13, 22);n;moving;move_forward
0;87;(18, 27);w;moving;move_forward
1;87;(13, 23);e;moving;move_forward
0;88;(18, 26);w;moving;move_forward
1;88;(13, 23);e;moving;move_forward
0;89;(17, 26);n;moving;move_forward
1;89;(12, 23);n;moving;move_forward
0;90;(17, 25);w;moving;move_forward
1;90;(12, 23);n;moving;move_forward
0;91;(17, 24);w;moving;move_forward
1;91;(11, 23);n;moving;move_forward
0;92;(17, 23);w;moving;move_forward
1;92;(11, 23);n;moving;move_forward
0;93;(17, 22);w;moving;move_forward
1;93;(10, 23);n;moving;move_forward
0;94;(17, 21);w;moving;move_forward
1;94;(10, 23);n;moving;move_forward
0;95;(16, 21);n;moving;move_forward
1;95;(9, 23);n;moving;move_forward
0;96;(16, 20);w;moving;move_forward
1;96;(9, 23);n;moving;move_forward
0;97;(16, 19);w;moving;move_forward
1;97;(9, 24);e;moving;move_forward
0;98;(16, 18);w;moving;move_forward
1;98;(9, 24);e;moving;move_forward
0;99;(16, 17);w;moving;move_left
1;99;(8, 24);n;moving;move_forward
0;100;(17, 17);s;moving;move_forward
1;100;(8, 24);n;moving;move_forward
0;101;(17, 16);w;moving;move_forward
1;101;(8, 25);e;moving;move_forward
0;102;(17, 15);w;moving;move_forward
1;102;(8, 25);e;moving;move_forward
1;103;(8, 26);e;moving;move_forward
1;104;(8, 26);e;moving;move_forward
1;105;(8, 27);e;moving;move_forward
1;106;(8, 27);e;moving;move_forward
1;107;(8, 28);e;moving;move_forward
1;108;(8, 28);e;moving;move_forward
1;109;(8, 29);e;moving;move_forward
1;110;(8, 29);e;moving;move_forward
1;111;(8, 30);e;moving;move_forward
1;112;(8, 30);e;moving;move_forward
1;113;(8, 31);e;moving;move_forward
1;114;(8, 31);e;moving;move_forward
1;115;(9, 31);s;moving;move_forward
1;116;(9, 31);s;moving;move_forward
1;117;(10, 31);s;moving;move_forward
1;118;(10, 31);s;moving;move_forward
1;119;(11, 31);s;moving;move_forward
1;120;(11, 31);s;moving;move_forward
1;121;(12, 31);s;moving;move_forward
1;122;(12, 31);s;moving;move_forward
1;123;(13, 31);s;moving;move_forward
1;124;(13, 31);s;moving;move_forward
1;125;(14, 31);s;moving;move_forward
1;126;(14, 31);s;moving;move_forward
1;127;(15, 31);s;moving;move_forward
1;128;(15, 31);s;moving;move_forward
1;129;(16, 31);s;moving;move_forward
1;130;(16, 31);s;moving;move_forward
1;131;(17, 31);s;moving;move_forward
1;132;(17, 31);s;moving;move_forward
1;133;(18, 31);s;moving;move_right
1;134;(18, 31);s;moving;move_right
1;135;(18, 30);w;moving;move_forward
1;136;(18, 30);w;moving;move_forward
1;137;(18, 29);w;moving;move_forward
1;138;(18, 29);w;moving;move_forward
1;139;(18, 28);w;moving;move_forward
1;140;(18, 28);w;moving;move_forward
1;141;(18, 27);w;moving;move_left
1;142;(18, 27);w;moving;move_left
1;143;(19, 27);s;moving;move_forward
1;144;(19, 27);s;moving;move_forward
1;145;(20, 27);s;moving;move_forward
1;146;(20, 27);s;moving;move_forward
1;147;(21, 27);s;moving;move_left
1;148;(21, 27);s;moving;move_left
1;149;(21, 28);e;moving;move_forward
1;150;(21, 28);e;moving;move_forward
1;151;(22, 28);s;moving;move_forward
1;152;(22, 28);s;moving;move_forward
1;153;(23, 28);s;moving;move_forward
