agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;wait
1;0;None;e;waiting;wait
2;0;None;n;waiting;wait
0;1;None;s;waiting;wait
1;1;None;e;waiting;wait
2;1;None;n;waiting;wait
0;2;None;s;waiting;wait
1;2;None;e;ready to depart;move_forward
2;2;None;n;waiting;wait
0;3;None;s;waiting;wait
1;3;(16, 14);e;moving;move_forward
2;3;None;n;waiting;wait
0;4;None;s;waiting;wait
1;4;(16, 14);e;moving;move_forward
2;4;None;n;waiting;wait
0;5;None;s;waiting;wait
1;5;(16, 15);e;moving;move_forward
2;5;None;n;waiting;wait
0;6;None;s;waiting;wait
1;6;(16, 15);e;moving;move_forward
2;6;None;n;waiting;wait
0;7;None;s;waiting;wait
1;7;(16, 16);e;moving;move_forward
2;7;None;n;waiting;wait
0;8;None;s;waiting;wait
1;8;(16, 16);e;moving;move_forward
2;8;None;n;waiting;wait
0;9;None;s;waiting;wait
1;9;(16, 17);e;moving;move_forward
2;9;None;n;waiting;wait
0;10;None;s;waiting;wait
1;10;(16, 17);e;moving;move_forward
2;10;None;n;waiting;wait
0;11;None;s;waiting;wait
1;11;(16, 18);e;moving;move_forward
2;11;None;n;waiting;wait
0;12;None;s;waiting;wait
1;12;(16, 18);e;moving;move_forward
2;12;None;n;waiting;wait
0;13;None;s;waiting;wait
1;13;(16, 19);e;moving;move_left
2;13;None;n;waiting;wait
0;14;None;s;waiting;wait
1;14;(16, 19);e;moving;move_left
2;14;None;n;waiting;wait
0;15;None;s;waiting;wait
1;15;(15, 19);n;moving;move_forward
2;15;None;n;waiting;wait
0;16;None;s;waiting;wait
1;16;(15, 19);n;moving;move_forward
2;16;None;n;waiting;wait
0;17;None;s;waiting;wait
1;17;(15, 20);e;moving;move_forward
2;17;None;n;waiting;wait
0;18;None;s;waiting;wait
1;18;(15, 20);e;moving;move_forward
2;18;None;n;waiting;wait
0;19;None;s;waiting;wait
1;19;(14, 20);n;moving;move_forward
2;19;None;n;waiting;wait
0;20;None;s;waiting;wait
1;20;(14, 20);n;moving;move_forward
2;20;None;n;waiting;wait
0;21;None;s;waiting;wait
1;21;(14, 21);e;moving;move_forward
2;21;None;n;waiting;wait
0;22;None;s;waiting;wait
1;22;(14, 21);e;moving;move_forward
2;22;None;n;ready to depart;move_forward
0;23;None;s;waiting;wait
1;23;(14, 22);e;moving;move_forward
2;23;(13, 31);n;moving;wait
0;24;None;s;waiting;wait
1;24;(14, 22);e;moving;move_forward
2;24;(13, 31);n;stopped;wait
0;25;None;s;waiting;wait
1;25;(13, 22);n;moving;move_forward
2;25;(13, 31);n;stopped;wait
0;26;None;s;ready to depart;move_forward
1;26;(13, 22);n;moving;move_forward
2;26;(13, 31);n;stopped;wait
0;27;(24, 27);s;moving;move_forward
1;27;(13, 23);e;moving;move_forward
2;27;(13, 31);n;stopped;wait
0;28;(25, 27);s;moving;move_forward
1;28;(13, 23);e;moving;move_forward
2;28;(13, 31);n;stopped;wait
0;29;(26, 27);s;moving;move_forward
1;29;(12, 23);n;moving;move_forward
2;29;(13, 31);n;stopped;wait
0;30;(27, 27);s;moving;move_forward
1;30;(12, 23);n;moving;move_forward
2;30;(13, 31);n;stopped;wait
0;31;(28, 27);s;moving;move_forward
1;31;(11, 23);n;moving;move_forward
2;31;(13, 31);n;stopped;wait
0;32;(29, 27);s;moving;move_forward
1;32;(11, 23);n;moving;move_forward
2;32;(13, 31);n;stopped;wait
0;33;(29, 26);w;moving;move_forward
1;33;(10, 23);n;moving;move_forward
2;33;(13, 31);n;stopped;wait
0;34;(29, 25);w;moving;move_forward
1;34;(10, 23);n;moving;move_forward
2;34;(13, 31);n;stopped;wait
0;35;(29, 24);w;moving;move_forward
1;35;(9, 23);n;moving;move_forward
2;35;(13, 31);n;stopped;wait
0;36;(29, 23);w;moving;move_forward
1;36;(9, 23);n;moving;move_forward
2;36;(13, 31);n;stopped;wait
0;37;(29, 22);w;moving;move_forward
1;37;(9, 24);e;moving;move_forward
2;37;(13, 31);n;stopped;wait
0;38;(29, 21);w;moving;move_forward
1;38;(9, 24);e;moving;move_forward
2;38;(13, 31);n;stopped;wait
0;39;(29, 20);w;moving;move_forward
1;39;(8, 24);n;moving;move_forward
2;39;(13, 31);n;stopped;wait
0;40;(28, 20);n;moving;move_forward
1;40;(8, 24);n;moving;move_forward
2;40;(13, 31);n;stopped;wait
0;41;(28, 19);w;moving;move_forward
1;41;(8, 25);e;moving;move_forward
2;41;(13, 31);n;stopped;wait
0;42;(27, 19);n;moving;move_forward
1;42;(8, 25);e;moving;move_forward
2;42;(13, 31);n;stopped;wait
0;43;(26, 19);n;moving;move_forward
1;43;(8, 26);e;moving;move_forward
2;43;(13, 31);n;stopped;wait
0;44;(25, 19);n;moving;move_forward
1;44;(8, 26);e;moving;move_forward
2;44;(13, 31);n;stopped;wait
0;45;(24, 19);n;moving;move_forward
1;45;(8, 27);e;moving;move_forward
2;45;(13, 31);n;stopped;wait
0;46;(23, 19);n;moving;move_forward
1;46;(8, 27);e;moving;move_forward
2;46;(13, 31);n;stopped;wait
0;47;(22, 19);n;moving;move_forward
1;47;(8, 28);e;moving;move_forward
2;47;(13, 31);n;stopped;wait
0;48;(21, 19);n;moving;move_forward
1;48;(8, 28);e;moving;move_forward
2;48;(13, 31);n;stopped;wait
0;49;(20, 19);n;moving;move_forward
1;49;(8, 29);e;moving;move_forward
2;49;(13, 31);n;stopped;wait
0;50;(19, 19);n;moving;move_forward
1;50;(8, 29);e;moving;move_forward
2;50;(13, 31);n;stopped;wait
0;51;(18, 19);n;moving;move_forward
1;51;(8, 30);e;moving;move_forward
2;51;(13, 31);n;stopped;wait
0;52;(17, 19);n;moving;move_forward
1;52;(8, 30);e;moving;move_forward
2;52;(13, 31);n;stopped;wait
0;53;(16, 19);n;moving;move_right
1;53;(8, 31);e;moving;move_forward
2;53;(13, 31);n;stopped;wait
0;54;(16, 20);e;moving;move_forward
1;54;(8, 31);e;moving;move_forward
2;54;(13, 31);n;stopped;move_forward
0;55;(16, 21);e;moving;move_forward
1;55;(9, 31);s;moving;move_forward
2;55;(12, 31);n;moving;wait
0;56;(17, 21);s;moving;move_forward
1;56;(9, 31);s;moving;move_forward
2;56;(12, 31);n;stopped;wait
0;57;(17, 22);e;moving;move_forward
1;57;(10, 31);s;moving;move_left
2;57;(12, 31);n;stopped;wait
0;58;(17, 23);e;moving;move_forward
1;58;(10, 31);s;moving;move_left
2;58;(12, 31);n;stopped;wait
0;59;(17, 24);e;moving;move_forward
1;59;(10, 32);e;moving;move_forward
2;59;(12, 31);n;stopped;move_forward
0;60;(17, 25);e;moving;move_forward
1;60;(10, 32);e;moving;move_forward
2;60;(11, 31);n;moving;move_forward
0;61;(17, 26);e;moving;move_forward
1;61;(11, 32);s;moving;move_forward
2;61;(10, 31);n;moving;move_forward
0;62;(18, 26);s;moving;move_forward
1;62;(11, 32);s;moving;move_forward
2;62;(9, 31);n;moving;move_forward
0;63;(18, 27);e;moving;move_forward
1;63;(12, 32);s;moving;move_forward
2;63;(8, 31);n;moving;move_forward
0;64;(18, 28);e;moving;move_forward
1;64;(12, 32);s;moving;move_forward
2;64;(8, 30);w;moving;move_forward
0;65;(18, 29);e;moving;move_forward
1;65;(13, 32);s;moving;move_forward
2;65;(8, 29);w;moving;move_forward
0;66;(18, 30);e;moving;move_forward
1;66;(13, 32);s;moving;move_forward
2;66;(8, 28);w;moving;move_forward
0;67;(18, 31);e;moving;move_forward
1;67;(14, 32);s;moving;move_forward
2;67;(8, 27);w;moving;move_forward
0;68;(17, 31);n;moving;move_forward
1;68;(14, 32);s;moving;move_forward
2;68;(8, 26);w;moving;move_forward
0;69;(16, 31);n;moving;move_forward
1;69;(15, 32);s;moving;move_forward
2;69;(8, 25);w;moving;move_forward
0;70;(15, 31);n;moving;move_forward
1;70;(15, 32);s;moving;move_forward
2;70;(8, 24);w;moving;move_forward
0;71;(14, 31);n;moving;move_forward
1;71;(16, 32);s;moving;move_forward
2;71;(9, 24);s;moving;move_forward
0;72;(13, 31);n;moving;move_forward
1;72;(16, 32);s;moving;move_forward
2;72;(9, 23);w;moving;move_forward
0;73;(12, 31);n;moving;move_forward
1;73;(16, 31);w;moving;move_forward
2;73;(10, 23);s;moving;move_forward
0;74;(11, 31);n;moving;move_forward
1;74;(16, 31);w;moving;move_forward
2;74;(11, 23);s;moving;move_forward
0;75;(10, 31);n;moving;move_forward
1;75;(17, 31);s;moving;move_forward
2;75;(12, 23);s;moving;move_forward
0;76;(9, 31);n;moving;move_forward
1;76;(17, 31);s;moving;move_forward
2;76;(13, 23);s;moving;move_forward
0;77;(8, 31);n;moving;move_forward
1;77;(18, 31);s;moving;move_right
2;77;(13, 22);w;moving;move_forward
0;78;(8, 30);w;moving;move_forward
1;78;(18, 31);s;moving;move_right
2;78;(14, 22);s;moving;move_forward
0;79;(8, 29);w;moving;move_forward
1;79;(18, 30);w;moving;move_forward
2;79;(14, 21);w;moving;move_forward
0;80;(8, 28);w;moving;move_forward
1;80;(18, 30);w;moving;move_forward
2;80;(14, 20);w;moving;move_forward
0;81;(8, 27);w;moving;move_forward
1;81;(18, 29);w;moving;move_forward
2;81;(15, 20);s;moving;move_forward
0;82;(8, 26);w;moving;move_forward
1;82;(18, 29);w;moving;move_forward
2;82;(15, 19);w;moving;move_forward
0;83;(8, 25);w;moving;move_forward
1;83;(18, 28);w;moving;move_forward
2;83;(16, 19);s;moving;move_right
0;84;(8, 24);w;moving;move_forward
1;84;(18, 28);w;moving;move_forward
2;84;(16, 18);w;moving;move_forward
0;85;(9, 24);s;moving;move_forward
1;85;(18, 27);w;moving;move_left
2;85;(16, 17);w;moving;move_left
0;86;(9, 23);w;moving;move_forward
1;86;(18, 27);w;moving;move_left
2;86;(17, 17);s;moving;move_forward
0;87;(10, 23);s;moving;move_forward
1;87;(19, 27);s;moving;move_forward
2;87;(17, 16);w;moving;move_forward
0;88;(11, 23);s;moving;move_forward
1;88;(19, 27);s;moving;move_forward
2;88;(17, 15);w;moving;move_forward
0;89;(12, 23);s;moving;move_forward
1;89;(20, 27);s;moving;move_forward
0;90;(13, 23);s;moving;move_forward
1;90;(20, 27);s;moving;move_forward
0;91;(13, 22);w;moving;move_forward
1;91;(21, 27);s;moving;move_left
0;92;(14, 22);s;moving;move_forward
1;92;(21, 27);s;moving;move_left
0;93;(14, 21);w;moving;move_forward
1;93;(21, 28);e;moving;move_forward
0;94;(14, 20);w;moving;move_forward
1;94;(21, 28);e;moving;move_forward
0;95;(15, 20);s;moving;move_forward
1;95;(22, 28);s;moving;move_forward
0;96;(15, 19);w;moving;move_forward
1;96;(22, 28);s;moving;move_forward
0;97;(16, 19);s;moving;move_right
1;97;(23, 28);s;moving;move_forward
0;98;(16, 18);w;moving;move_forward
1;98;(23, 28);s;moving;move_forward
0;99;(16, 17);w;moving;move_left
0;100;(17, 17);s;moving;move_forward
0;101;(17, 16);w;moving;move_forward
0;102;(17, 15);w;moving;move_forward
