agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;wait
1;0;None;e;waiting;wait
2;0;None;n;waiting;wait
0;1;None;s;waiting;wait
1;1;None;e;waiting;wait
2;1;None;n;waiting;wait
0;2;None;s;waiting;wait
1;2;None;e;ready to depart;move_forward
2;2;None;n;waiting;wait
0;3;None;s;waiting;wait
1;3;(16, 14);e;moving;move_forward
2;3;None;n;waiting;wait
0;4;None;s;waiting;wait
1;4;(16, 14);e;moving;move_forward
2;4;None;n;waiting;wait
0;5;None;s;waiting;wait
1;5;(16, 15);e;moving;move_forward
2;5;None;n;waiting;wait
0;6;None;s;waiting;wait
1;6;(16, 15);e;moving;move_forward
2;6;None;n;waiting;wait
0;7;None;s;waiting;wait
1;7;(16, 16);e;moving;move_forward
2;7;None;n;waiting;wait
0;8;None;s;waiting;wait
1;8;(16, 16);e;moving;move_forward
2;8;None;n;waiting;wait
0;9;None;s;waiting;wait
1;9;(16, 17);e;moving;move_forward
2;9;None;n;waiting;wait
0;10;None;s;waiting;wait
1;10;(16, 17);e;moving;move_forward
2;10;None;n;waiting;wait
0;11;None;s;waiting;wait
1;11;(16, 18);e;moving;move_forward
2;11;None;n;waiting;wait
0;12;None;s;waiting;wait
1;12;(16, 18);e;moving;move_forward
2;12;None;n;waiting;wait
0;13;None;s;waiting;wait
1;13;(16, 19);e;moving;move_left
2;13;None;n;waiting;wait
0;14;None;s;waiting;wait
1;14;(16, 19);e;moving;move_left
2;14;None;n;waiting;wait
0;15;None;s;waiting;wait
1;15;(15, 19);n;moving;move_forward
2;15;None;n;waiting;wait
0;16;None;s;waiting;wait
1;16;(15, 19);n;moving;move_forward
2;16;None;n;waiting;wait
0;17;None;s;waiting;wait
1;17;(15, 20);e;moving;move_forward
2;17;None;n;waiting;wait
0;18;None;s;waiting;wait
1;18;(15, 20);e;moving;move_forward
2;18;None;n;waiting;wait
0;19;None;s;waiting;wait
1;19;(14, 20);n;moving;move_forward
2;19;None;n;waiting;wait
0;20;None;s;waiting;wait
1;20;(14, 20);n;moving;move_forward
2;20;None;n;waiting;wait
0;21;None;s;waiting;wait
1;21;(14, 21);e;moving;move_forward
2;21;None;n;waiting;wait
0;22;None;s;waiting;wait
1;22;(14, 21);e;moving;move_forward
2;22;None;n;ready to depart;move_forward
0;23;None;s;waiting;wait
1;23;(14, 22);e;moving;move_forward
2;23;(13, 31);n;moving;wait
0;24;None;s;waiting;wait
1;24;(14, 22);e;moving;move_forward
2;24;(13, 31);n;stopped;wait
0;25;None;s;waiting;wait
1;25;(13, 22);n;moving;move_forward
2;25;(13, 31);n;stopped;wait
0;26;None;s;ready to depart;move_forward
1;26;(13, 22);n;moving;move_forward
2;26;(13, 31);n;stopped;wait
0;27;(24, 27);s;moving;move_forward
1;27;(13, 23);e;moving;move_forward
2;27;(13, 31);n;stopped;wait
0;28;(25, 27);s;moving;move_forward
1;28;(13, 23);e;moving;move_forward
2;28;(13, 31);n;stopped;wait
0;29;(26, 27);s;moving;move_forward
1;29;(12, 23);n;moving;move_forward
2;29;(13, 31);n;stopped;wait
0;30;(27, 27);s;moving;move_forward
1;30;(12, 23);n;moving;move_forward
2;30;(13, 31);n;stopped;wait
0;31;(28, 27);s;moving;move_forward
1;31;(11, 23);n;moving;move_forward
2;31;(13, 31);n;stopped;wait
0;32;(29, 27);s;moving;move_forward
1;32;(11, 23);n;moving;move_forward
2;32;(13, 31);n;stopped;wait
0;33;(29, 26);w;moving;move_forward
1;33;(10, 23);n;moving;move_forward
2;33;(13, 31);n;stopped;wait
0;34;(29, 25);w;moving;move_forward
1;34;(10, 23);n;moving;move_forward
2;34;(13, 31);n;stopped;wait
0;35;(29, 24);w;moving;move_forward
1;35;(9, 23);n;moving;move_forward
2;35;(13, 31);n;stopped;wait
0;36;(29, 23);w;moving;move_forward
1;36;(9, 23);n;moving;move_forward
2;36;(13, 31);n;stopped;wait
0;37;(29, 22);w;moving;wait
1;37;(9, 24);e;moving;move_forward
2;37;(13, 31);n;stopped;wait
0;38;(29, 22);w;stopped;move_forward
1;38;(9, 24);e;moving;move_forward
2;38;(13, 31);n;stopped;wait
0;39;(29, 21);w;moving;move_forward
1;39;(8, 24);n;moving;move_forward
2;39;(13, 31);n;stopped;wait
0;40;(29, 20);w;moving;wait
1;40;(8, 24);n;moving;move_forward
2;40;(13, 31);n;stopped;wait
0;41;(29, 20);w;stopped;wait
1;41;(8, 25);e;moving;move_forward
2;41;(13, 31);n;stopped;wait
0;42;(29, 20);w;stopped;wait
1;42;(8, 25);e;moving;move_forward
2;42;(13, 31);n;stopped;wait
0;43;(29, 20);w;stopped;wait
1;43;(8, 26);e;moving;move_forward
2;43;(13, 31);n;stopped;wait
0;44;(29, 20);w;stopped;move_forward
1;44;(8, 26);e;moving;move_forward
2;44;(13, 31);n;stopped;wait
0;45;(28, 20);n;moving;move_forward
1;45;(8, 27);e;moving;move_forward
2;45;(13, 31);n;stopped;wait
0;46;(28, 19);w;moving;move_forward
1;46;(8, 27);e;moving;move_forward
2;46;(13, 31);n;stopped;wait
0;47;(27, 19);n;moving;move_forward
1;47;(8, 28);e;moving;move_forward
2;47;(13, 31);n;stopped;wait
0;48;(26, 19);n;moving;move_forward
1;48;(8, 28);e;moving;move_forward
2;48;(13, 31);n;stopped;wait
0;49;(25, 19);n;moving;move_forward
1;49;(8, 29);e;moving;move_forward
2;49;(13, 31);n;stopped;wait
0;50;(24, 19);n;moving;move_forward
1;50;(8, 29);e;moving;move_forward
2;50;(13, 31);n;stopped;wait
0;51;(23, 19);n;moving;move_forward
1;51;(8, 30);e;moving;move_forward
2;51;(13, 31);n;stopped;wait
0;52;(22, 19);n;moving;move_forward
1;52;(8, 30);e;moving;move_forward
2;52;(13, 31);n;stopped;wait
0;53;(21, 19);n;moving;move_forward
1;53;(8, 31);e;moving;move_forward
2;53;(13, 31);n;stopped;wait
0;54;(20, 19);n;moving;move_forward
1;54;(8, 31);e;moving;move_forward
2;54;(13, 31);n;stopped;wait
0;55;(19, 19);n;moving;move_forward
1;55;(9, 31);s;moving;move_forward
2;55;(13, 31);n;stopped;wait
0;56;(18, 19);n;moving;move_forward
1;56;(9, 31);s;moving;move_forward
2;56;(13, 31);n;stopped;wait
0;57;(17, 19);n;moving;move_forward
1;57;(10, 31);s;moving;move_left
2;57;(13, 31);n;stopped;wait
0;58;(16, 19);n;moving;move_forward
1;58;(10, 31);s;moving;move_left
2;58;(13, 31);n;stopped;wait
0;59;(15, 19);n;moving;move_forward
1;59;(10, 32);e;moving;move_forward
2;59;(13, 31);n;stopped;wait
0;60;(15, 20);e;moving;move_forward
1;60;(10, 32);e;moving;move_forward
2;60;(13, 31);n;stopped;wait
0;61;(14, 20);n;moving;move_forward
1;61;(11, 32);s;moving;move_forward
2;61;(13, 31);n;stopped;wait
0;62;(14, 21);e;moving;move_forward
1;62;(11, 32);s;moving;move_forward
2;62;(13, 31);n;stopped;wait
0;63;(14, 22);e;moving;move_forward
1;63;(12, 32);s;moving;move_forward
2;63;(13, 31);n;stopped;wait
0;64;(13, 22);n;moving;move_forward
1;64;(12, 32);s;moving;move_forward
2;64;(13, 31);n;stopped;wait
0;65;(13, 23);e;moving;move_forward
1;65;(13, 32);s;moving;move_forward
2;65;(13, 31);n;stopped;wait
0;66;(12, 23);n;moving;move_forward
1;66;(13, 32);s;moving;move_forward
2;66;(13, 31);n;stopped;wait
0;67;(11, 23);n;moving;move_forward
1;67;(14, 32);s;moving;move_forward
2;67;(13, 31);n;stopped;wait
0;68;(10, 23);n;moving;move_forward
1;68;(14, 32);s;moving;move_forward
2;68;(13, 31);n;stopped;wait
0;69;(9, 23);n;moving;move_forward
1;69;(15, 32);s;moving;move_forward
2;69;(13, 31);n;stopped;wait
0;70;(9, 24);e;moving;move_forward
1;70;(15, 32);s;moving;move_forward
2;70;(13, 31);n;stopped;wait
0;71;(8, 24);n;moving;move_forward
1;71;(16, 32);s;moving;move_forward
2;71;(13, 31);n;stopped;wait
0;72;(8, 25);e;moving;move_forward
1;72;(16, 32);s;moving;move_forward
2;72;(13, 31);n;stopped;wait
0;73;(8, 26);e;moving;move_forward
1;73;(16, 31);w;moving;move_forward
2;73;(13, 31);n;stopped;wait
0;74;(8, 27);e;moving;move_forward
1;74;(16, 31);w;moving;move_forward
2;74;(13, 31);n;stopped;wait
0;75;(8, 28);e;moving;move_forward
1;75;(17, 31);s;moving;move_forward
2;75;(13, 31);n;stopped;wait
0;76;(8, 29);e;moving;move_forward
1;76;(17, 31);s;moving;move_forward
2;76;(13, 31);n;stopped;wait
0;77;(8, 30);e;moving;move_forward
1;77;(18, 31);s;moving;move_right
2;77;(13, 31);n;stopped;wait
0;78;(8, 31);e;moving;move_forward
1;78;(18, 31);s;moving;move_right
2;78;(13, 31);n;stopped;move_forward
0;79;(9, 31);s;moving;move_forward
1;79;(18, 30);w;moving;move_forward
2;79;(12, 31);n;moving;wait
0;80;(10, 31);s;moving;move_left
1;80;(18, 30);w;moving;move_forward
2;80;(12, 31);n;stopped;wait
0;81;(10, 32);e;moving;move_forward
1;81;(18, 29);w;moving;move_forward
2;81;(12, 31);n;stopped;wait
0;82;(11, 32);s;moving;move_forward
1;82;(18, 29);w;moving;move_forward
2;82;(12, 31);n;stopped;wait
0;83;(12, 32);s;moving;move_forward
1;83;(18, 28);w;moving;move_forward
2;83;(12, 31);n;stopped;wait
0;84;(13, 32);s;moving;wait
1;84;(18, 28);w;moving;move_forward
2;84;(12, 31);n;stopped;wait
0;85;(13, 32);s;stopped;wait
1;85;(18, 27);w;moving;move_left
2;85;(12, 31);n;stopped;move_forward
0;86;(13, 32);s;stopped;wait
1;86;(18, 27);w;moving;move_left
2;86;(11, 31);n;moving;move_right
0;87;(13, 32);s;stopped;wait
1;87;(19, 27);s;moving;move_forward
2;87;(11, 32);e;moving;move_forward
0;88;(13, 32);s;stopped;move_forward
1;88;(19, 27);s;moving;move_forward
2;88;(10, 32);n;moving;wait
0;89;(14, 32);s;moving;wait
1;89;(20, 27);s;moving;move_forward
2;89;(10, 32);n;stopped;move_forward
0;90;(14, 32);s;stopped;move_forward
1;90;(20, 27);s;moving;move_forward
2;90;(10, 31);w;moving;move_forward
0;91;(15, 32);s;moving;move_forward
1;91;(21, 27);s;moving;move_left
2;91;(9, 31);n;moving;move_forward
0;92;(16, 32);s;moving;move_forward
1;92;(21, 27);s;moving;move_left
2;92;(8, 31);n;moving;move_forward
0;93;(16, 31);w;moving;move_forward
1;93;(21, 28);e;moving;move_forward
2;93;(8, 30);w;moving;move_forward
0;94;(17, 31);s;moving;wait
1;94;(21, 28);e;moving;move_forward
2;94;(8, 29);w;moving;move_forward
0;95;(17, 31);s;stopped;wait
1;95;(22, 28);s;moving;move_forward
2;95;(8, 28);w;moving;move_forward
0;96;(17, 31);s;stopped;wait
1;96;(22, 28);s;moving;move_forward
2;96;(8, 27);w;moving;wait
0;97;(17, 31);s;stopped;move_forward
1;97;(23, 28);s;moving;wait
2;97;(8, 27);w;stopped;wait
0;98;(18, 31);s;moving;move_forward
1;98;(23, 28);s;stopped;wait
2;98;(8, 27);w;stopped;wait
0;99;(19, 31);s;moving;move_forward
1;99;(23, 28);s;stopped;wait
2;99;(8, 27);w;stopped;wait
0;100;(19, 30);w;moving;move_forward
1;100;(23, 28);s;stopped;wait
2;100;(8, 27);w;stopped;wait
0;101;(19, 29);w;moving;move_forward
1;101;(23, 28);s;stopped;wait
2;101;(8, 27);w;stopped;wait
0;102;(19, 28);w;moving;wait
1;102;(23, 28);s;stopped;wait
2;102;(8, 27);w;stopped;move_forward
0;103;(19, 28);w;stopped;move_forward
1;103;(23, 28);s;stopped;wait
2;103;(8, 26);w;moving;move_forward
0;104;(19, 27);w;moving;move_forward
1;104;(23, 28);s;stopped;wait
2;104;(8, 25);w;moving;move_forward
0;105;(19, 26);w;moving;move_forward
1;105;(23, 28);s;stopped;wait
2;105;(8, 24);w;moving;move_forward
0;106;(19, 25);w;moving;wait
1;106;(23, 28);s;stopped;wait
2;106;(9, 24);s;moving;move_forward
0;107;(19, 25);w;stopped;wait
1;107;(23, 28);s;stopped;wait
2;107;(9, 23);w;moving;move_forward
0;108;(19, 25);w;stopped;move_forward
1;108;(23, 28);s;stopped;wait
2;108;(10, 23);s;moving;move_forward
0;109;(19, 24);w;moving;move_forward
1;109;(23, 28);s;stopped;wait
2;109;(11, 23);s;moving;move_forward
0;110;(19, 23);w;moving;move_forward
1;110;(23, 28);s;stopped;wait
2;110;(12, 23);s;moving;move_forward
0;111;(19, 22);w;moving;move_forward
1;111;(23, 28);s;stopped;wait
2;111;(13, 23);s;moving;move_forward
0;112;(20, 22);s;moving;move_forward
1;112;(23, 28);s;stopped;wait
2;112;(13, 22);w;moving;move_forward
0;113;(21, 22);s;moving;move_forward
1;113;(23, 28);s;stopped;wait
2;113;(14, 22);s;moving;move_forward
0;114;(21, 21);w;moving;move_forward
1;114;(23, 28);s;stopped;wait
2;114;(14, 21);w;moving;move_forward
0;115;(21, 20);w;moving;wait
1;115;(23, 28);s;stopped;wait
2;115;(14, 20);w;moving;move_forward
0;116;(21, 20);w;stopped;move_forward
1;116;(23, 28);s;stopped;wait
2;116;(15, 20);s;moving;move_forward
0;117;(21, 19);w;moving;move_forward
1;117;(23, 28);s;stopped;wait
2;117;(15, 19);w;moving;wait
0;118;(21, 18);w;moving;wait
1;118;(23, 28);s;stopped;wait
2;118;(15, 19);w;stopped;wait
0;119;(21, 18);w;stopped;wait
1;119;(23, 28);s;stopped;wait
2;119;(15, 19);w;stopped;wait
0;120;(21, 18);w;stopped;wait
1;120;(23, 28);s;stopped;wait
2;120;(15, 19);w;stopped;move_forward
0;121;(21, 18);w;stopped;wait
1;121;(23, 28);s;stopped;wait
2;121;(16, 19);s;moving;move_right
0;122;(21, 18);w;stopped;wait
1;122;(23, 28);s;stopped;wait
2;122;(16, 18);w;moving;move_forward
0;123;(21, 18);w;stopped;wait
1;123;(23, 28);s;stopped;wait
2;123;(16, 17);w;moving;move_left
0;124;(21, 18);w;stopped;wait
1;124;(23, 28);s;stopped;wait
2;124;(17, 17);s;moving;wait
0;125;(21, 18);w;stopped;wait
1;125;(23, 28);s;stopped;wait
2;125;(17, 17);s;stopped;wait
0;126;(21, 18);w;stopped;wait
1;126;(23, 28);s;stopped;wait
2;126;(17, 17);s;stopped;wait
0;127;(21, 18);w;stopped;wait
1;127;(23, 28);s;stopped;wait
2;127;(17, 17);s;stopped;wait
0;128;(21, 18);w;stopped;wait
1;128;(23, 28);s;stopped;wait
2;128;(17, 17);s;stopped;wait
