agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;wait
1;0;None;n;waiting;wait
2;0;None;n;waiting;wait
3;0;None;e;waiting;wait
4;0;None;n;waiting;wait
0;1;None;s;waiting;wait
1;1;None;n;waiting;wait
2;1;None;n;waiting;wait
3;1;None;e;waiting;wait
4;1;None;n;waiting;wait
0;2;None;s;ready to depart;move_forward
1;2;None;n;waiting;wait
2;2;None;n;waiting;wait
3;2;None;e;waiting;wait
4;2;None;n;waiting;wait
0;3;(28, 24);s;moving;wait
1;3;None;n;waiting;wait
2;3;None;n;waiting;wait
3;3;None;e;waiting;wait
4;3;None;n;waiting;wait
0;4;(28, 24);s;stopped;wait
1;4;None;n;waiting;wait
2;4;None;n;waiting;wait
3;4;None;e;waiting;wait
4;4;None;n;waiting;wait
0;5;(28, 24);s;stopped;wait
1;5;None;n;waiting;wait
2;5;None;n;waiting;wait
3;5;None;e;waiting;wait
4;5;None;n;waiting;wait
0;6;(28, 24);s;stopped;wait
1;6;None;n;waiting;wait
2;6;None;n;waiting;wait
3;6;None;e;waiting;wait
4;6;None;n;waiting;wait
0;7;(28, 24);s;stopped;wait
1;7;None;n;waiting;wait
2;7;None;n;waiting;wait
3;7;None;e;waiting;wait
4;7;None;n;waiting;wait
0;8;(28, 24);s;stopped;wait
1;8;None;n;waiting;wait
2;8;None;n;waiting;wait
3;8;None;e;waiting;wait
4;8;None;n;waiting;wait
0;9;(28, 24);s;stopped;wait
1;9;None;n;waiting;wait
2;9;None;n;waiting;wait
3;9;None;e;waiting;wait
4;9;None;n;waiting;wait
0;10;(28, 24);s;stopped;wait
1;10;None;n;waiting;wait
2;10;None;n;waiting;wait
3;10;None;e;waiting;wait
4;10;None;n;waiting;wait
0;11;(28, 24);s;stopped;wait
1;11;None;n;waiting;wait
2;11;None;n;waiting;wait
3;11;None;e;waiting;wait
4;11;None;n;waiting;wait
0;12;(28, 24);s;stopped;wait
1;12;None;n;waiting;wait
2;12;None;n;waiting;wait
3;12;None;e;waiting;wait
4;12;None;n;waiting;wait
0;13;(28, 24);s;stopped;wait
1;13;None;n;waiting;wait
2;13;None;n;waiting;wait
3;13;None;e;waiting;wait
4;13;None;n;waiting;wait
0;14;(28, 24);s;stopped;wait
1;14;None;n;waiting;wait
2;14;None;n;waiting;wait
3;14;None;e;waiting;wait
4;14;None;n;waiting;wait
0;15;(28, 24);s;stopped;wait
1;15;None;n;waiting;wait
2;15;None;n;waiting;wait
3;15;None;e;waiting;wait
4;15;None;n;waiting;wait
0;16;(28, 24);s;stopped;wait
1;16;None;n;waiting;wait
2;16;None;n;waiting;wait
3;16;None;e;waiting;wait
4;16;None;n;waiting;wait
0;17;(28, 24);s;stopped;wait
1;17;None;n;waiting;wait
2;17;None;n;waiting;wait
3;17;None;e;waiting;wait
4;17;None;n;waiting;wait
0;18;(28, 24);s;stopped;wait
1;18;None;n;waiting;wait
2;18;None;n;waiting;wait
3;18;None;e;waiting;wait
4;18;None;n;waiting;wait
0;19;(28, 24);s;stopped;wait
1;19;None;n;waiting;wait
2;19;None;n;waiting;wait
3;19;None;e;waiting;wait
4;19;None;n;waiting;wait
0;20;(28, 24);s;stopped;wait
1;20;None;n;waiting;wait
2;20;None;n;waiting;wait
3;20;None;e;waiting;wait
4;20;None;n;waiting;wait
0;21;(28, 24);s;stopped;wait
1;21;None;n;waiting;wait
2;21;None;n;waiting;wait
3;21;None;e;waiting;wait
4;21;None;n;waiting;wait
0;22;(28, 24);s;stopped;wait
1;22;None;n;waiting;wait
2;22;None;n;waiting;wait
3;22;None;e;waiting;wait
4;22;None;n;waiting;wait
0;23;(28, 24);s;stopped;wait
1;23;None;n;waiting;wait
2;23;None;n;waiting;wait
3;23;None;e;waiting;wait
4;23;None;n;waiting;wait
0;24;(28, 24);s;stopped;wait
1;24;None;n;waiting;wait
2;24;None;n;waiting;wait
3;24;None;e;waiting;wait
4;24;None;n;waiting;wait
0;25;(28, 24);s;stopped;wait
1;25;None;n;waiting;wait
2;25;None;n;waiting;wait
3;25;None;e;waiting;wait
4;25;None;n;waiting;wait
0;26;(28, 24);s;stopped;wait
1;26;None;n;waiting;wait
2;26;None;n;waiting;wait
3;26;None;e;waiting;wait
4;26;None;n;waiting;wait
0;27;(28, 24);s;stopped;wait
1;27;None;n;waiting;wait
2;27;None;n;waiting;wait
3;27;None;e;waiting;wait
4;27;None;n;waiting;wait
0;28;(28, 24);s;stopped;wait
1;28;None;n;waiting;wait
2;28;None;n;waiting;wait
3;28;None;e;waiting;wait
4;28;None;n;waiting;wait
0;29;(28, 24);s;stopped;wait
1;29;None;n;waiting;wait
2;29;None;n;waiting;wait
3;29;None;e;waiting;wait
4;29;None;n;waiting;wait
0;30;(28, 24);s;stopped;wait
1;30;None;n;waiting;wait
2;30;None;n;waiting;wait
3;30;None;e;waiting;wait
4;30;None;n;waiting;wait
0;31;(28, 24);s;stopped;wait
1;31;None;n;waiting;wait
2;31;None;n;waiting;wait
3;31;None;e;waiting;wait
4;31;None;n;waiting;wait
0;32;(28, 24);s;stopped;wait
1;32;None;n;waiting;wait
2;32;None;n;waiting;wait
3;32;None;e;waiting;wait
4;32;None;n;waiting;wait
0;33;(28, 24);s;stopped;wait
1;33;None;n;waiting;wait
2;33;None;n;waiting;wait
3;33;None;e;waiting;wait
4;33;None;n;waiting;wait
0;34;(28, 24);s;stopped;wait
1;34;None;n;waiting;wait
2;34;None;n;waiting;wait
3;34;None;e;waiting;wait
4;34;None;n;waiting;wait
0;35;(28, 24);s;stopped;wait
1;35;None;n;waiting;wait
2;35;None;n;waiting;wait
3;35;None;e;waiting;wait
4;35;None;n;waiting;wait
0;36;(28, 24);s;stopped;wait
1;36;None;n;waiting;wait
2;36;None;n;ready to depart;move_forward
3;36;None;e;waiting;wait
4;36;None;n;waiting;wait
0;37;(28, 24);s;stopped;wait
1;37;None;n;waiting;wait
2;37;(30, 5);n;moving;wait
3;37;None;e;waiting;wait
4;37;None;n;waiting;wait
0;38;(28, 24);s;stopped;wait
1;38;None;n;waiting;wait
2;38;(30, 5);n;stopped;wait
3;38;None;e;waiting;wait
4;38;None;n;waiting;wait
0;39;(28, 24);s;stopped;wait
1;39;None;n;waiting;wait
2;39;(30, 5);n;stopped;wait
3;39;None;e;waiting;wait
4;39;None;n;waiting;wait
0;40;(28, 24);s;stopped;wait
1;40;None;n;waiting;wait
2;40;(30, 5);n;stopped;wait
3;40;None;e;waiting;wait
4;40;None;n;waiting;wait
0;41;(28, 24);s;stopped;wait
1;41;None;n;waiting;wait
2;41;(30, 5);n;stopped;wait
3;41;None;e;waiting;wait
4;41;None;n;waiting;wait
0;42;(28, 24);s;stopped;wait
1;42;None;n;waiting;wait
2;42;(30, 5);n;stopped;wait
3;42;None;e;waiting;wait
4;42;None;n;waiting;wait
0;43;(28, 24);s;stopped;wait
1;43;None;n;waiting;wait
2;43;(30, 5);n;stopped;wait
3;43;None;e;waiting;wait
4;43;None;n;waiting;wait
0;44;(28, 24);s;stopped;wait
1;44;None;n;waiting;wait
2;44;(30, 5);n;stopped;wait
3;44;None;e;waiting;wait
4;44;None;n;waiting;wait
0;45;(28, 24);s;stopped;wait
1;45;None;n;waiting;wait
2;45;(30, 5);n;stopped;wait
3;45;None;e;waiting;wait
4;45;None;n;waiting;wait
0;46;(28, 24);s;stopped;move_forward
1;46;None;n;waiting;wait
2;46;(30, 5);n;stopped;wait
3;46;None;e;waiting;wait
4;46;None;n;waiting;wait
0;47;(28, 24);s;moving;move_forward
1;47;None;n;waiting;wait
2;47;(30, 5);n;stopped;wait
3;47;None;e;waiting;wait
4;47;None;n;waiting;wait
0;48;(28, 24);s;moving;move_forward
1;48;None;n;waiting;wait
2;48;(30, 5);n;stopped;wait
3;48;None;e;waiting;wait
4;48;None;n;waiting;wait
0;49;(29, 24);s;moving;move_left
1;49;None;n;waiting;wait
2;49;(30, 5);n;stopped;wait
3;49;None;e;waiting;wait
4;49;None;n;waiting;wait
0;50;(29, 24);s;moving;move_left
1;50;None;n;waiting;wait
2;50;(30, 5);n;stopped;wait
3;50;None;e;waiting;wait
4;50;None;n;waiting;wait
0;51;(29, 24);s;moving;move_left
1;51;None;n;waiting;wait
2;51;(30, 5);n;stopped;wait
3;51;None;e;waiting;wait
4;51;None;n;waiting;wait
0;52;(29, 25);e;moving;move_forward
1;52;None;n;waiting;wait
2;52;(30, 5);n;stopped;wait
3;52;None;e;waiting;wait
4;52;None;n;waiting;wait
0;53;(29, 25);e;moving;move_forward
1;53;None;n;waiting;wait
2;53;(30, 5);n;stopped;wait
3;53;None;e;waiting;wait
4;53;None;n;waiting;wait
0;54;(29, 25);e;moving;move_forward
1;54;None;n;waiting;wait
2;54;(30, 5);n;stopped;wait
3;54;None;e;waiting;wait
4;54;None;n;waiting;wait
0;55;(30, 25);s;moving;move_forward
1;55;None;n;waiting;wait
2;55;(30, 5);n;stopped;wait
3;55;None;e;waiting;wait
4;55;None;n;waiting;wait
0;56;(30, 25);s;moving;move_forward
1;56;None;n;waiting;wait
2;56;(30, 5);n;stopped;wait
3;56;None;e;waiting;wait
4;56;None;n;waiting;wait
0;57;(30, 25);s;moving;move_forward
1;57;None;n;waiting;wait
2;57;(30, 5);n;stopped;wait
3;57;None;e;waiting;wait
4;57;None;n;waiting;wait
0;58;(30, 24);w;moving;move_forward
1;58;None;n;waiting;wait
2;58;(30, 5);n;stopped;wait
3;58;None;e;waiting;wait
