{22: 0, 23: 1, 24: 2, 25: 3, 26: 4, 27: 5, 28: 6, 29: 7, 30: 8, 31: 9, 32: 10, 33: 11, 34: 12, 35: 13, 36: 14, 37: 15, 38: 16, 39: 17, 40: 18, 41: 19, 42: 20, 43: 21, 44: 22, 45: 23, 46: 24, 47: 25, 48: 26, 49: 27, 50: 28, 51: 29, 52: 30, 53: 31, 54: 32, 55: 33, 56: 34, 57: 35, 58: 36, 59: 37, 60: 38, 61: 39, 62: 40, 63: 41, 69: 42, 70: 43, 71: 44, 72: 45, 73: 46, 74: 47, 75: 48, 76: 49}
0: Movement(action=move_forward, start=22, duration=1, keypoints=[0.0, 1.0], motion_path=)
1: Movement(action=move_forward, start=23, duration=1, keypoints=[0.0, 1.0], motion_path=)
2: Movement(action=move_forward, start=24, duration=1, keypoints=[0.0, 1.0], motion_path=)
3: Movement(action=move_forward, start=25, duration=1, keypoints=[0.0, 1.0], motion_path=)
4: Movement(action=move_forward, start=26, duration=1, keypoints=[0.0, 1.0], motion_path=)
5: Movement(action=move_forward, start=27, duration=1, keypoints=[0.0, 1.0], motion_path=)
6: Movement(action=move_forward, start=28, duration=1, keypoints=[0.0, 1.0], motion_path=)
7: Movement(action=move_forward, start=29, duration=1, keypoints=[0.0, 1.0], motion_path=)
8: Movement(action=move_forward, start=30, duration=1, keypoints=[0.0, 1.0], motion_path=)
9: Movement(action=move_forward, start=31, duration=1, keypoints=[0.0, 1.0], motion_path=)
10: Movement(action=move_forward, start=32, duration=1, keypoints=[0.0, 1.0], motion_path=)
11: Movement(action=move_forward, start=33, duration=1, keypoints=[0.0, 1.0], motion_path=)
12: Movement(action=move_forward, start=34, duration=1, keypoints=[0.0, 1.0], motion_path=)
13: Movement(action=move_forward, start=35, duration=1, keypoints=[0.0, 1.0], motion_path=)
14: Movement(action=move_forward, start=36, duration=1, keypoints=[0.0, 1.0], motion_path=)
15: Movement(action=move_forward, start=37, duration=1, keypoints=[0.0, 1.0], motion_path=)
16: Movement(action=move_forward, start=38, duration=1, keypoints=[0.0, 1.0], motion_path=)
17: Movement(action=move_forward, start=39, duration=1, keypoints=[0.0, 1.0], motion_path=)
18: Movement(action=move_forward, start=40, duration=1, keypoints=[0.0, 1.0], motion_path=)
19: Movement(action=move_forward, start=41, duration=1, keypoints=[0.0, 1.0], motion_path=)
20: Movement(action=move_forward, start=42, duration=1, keypoints=[0.0, 1.0], motion_path=)
21: Movement(action=move_forward, start=43, duration=1, keypoints=[0.0, 1.0], motion_path=)
22: Movement(action=move_forward, start=44, duration=1, keypoints=[0.0, 1.0], motion_path=)
23: Movement(action=move_forward, start=45, duration=1, keypoints=[0.0, 1.0], motion_path=)
24: Movement(action=move_forward, start=46, duration=1, keypoints=[0.0, 1.0], motion_path=)
25: Movement(action=move_forward, start=47, duration=1, keypoints=[0.0, 1.0], motion_path=)
26: Movement(action=move_forward, start=48, duration=1, keypoints=[0.0, 1.0], motion_path=)
27: Movement(action=move_forward, start=49, duration=1, keypoints=[0.0, 1.0], motion_path=)
28: Movement(action=move_forward, start=50, duration=1, keypoints=[0.0, 1.0], motion_path=)
29: Movement(action=move_forward, start=51, duration=1, keypoints=[0.0, 1.0], motion_path=)
30: Movement(action=move_forward, start=52, duration=1, keypoints=[0.0, 1.0], motion_path=)
31: Movement(action=move_forward, start=53, duration=1, keypoints=[0.0, 1.0], motion_path=)
32: Movement(action=move_forward, start=54, duration=1, keypoints=[0.0, 1.0], motion_path=)
33: Movement(action=move_forward, start=55, duration=1, keypoints=[0.0, 1.0], motion_path=)
34: Movement(action=move_forward, start=56, duration=1, keypoints=[0.0, 1.0], motion_path=)
35: Movement(action=move_forward, start=57, duration=1, keypoints=[0.0, 1.0], motion_path=)
36: Movement(action=move_left, start=58, duration=1, keypoints=[0.0, 1.0], motion_path=)
37: Movement(action=move_forward, start=59, duration=1, keypoints=[0.0, 1.0], motion_path=)
38: Movement(action=move_forward, start=60, duration=1, keypoints=[0.0, 1.0], motion_path=)
39: Movement(action=move_forward, start=61, duration=1, keypoints=[0.0, 1.0], motion_path=)
40: Movement(action=move_forward, start=62, duration=1, keypoints=[0.0, 1.0], motion_path=)
41: Movement(action=move_forward, start=63, duration=1, keypoints=[0.0, 1.0], motion_path=)
42: Movement(action=move_forward, start=69, duration=1, keypoints=[0.0, 1.0], motion_path=)
43: Movement(action=move_forward, start=70, duration=1, keypoints=[0.0, 1.0], motion_path=)
44: Movement(action=move_forward, start=71, duration=1, keypoints=[0.0, 1.0], motion_path=)
45: Movement(action=move_forward, start=72, duration=1, keypoints=[0.0, 1.0], motion_path=)
46: Movement(action=move_forward, start=73, duration=1, keypoints=[0.0, 1.0], motion_path=)
47: Movement(action=move_left, start=74, duration=1, keypoints=[0.0, 1.0], motion_path=)
48: Movement(action=move_forward, start=75, duration=1, keypoints=[0.0, 1.0], motion_path=)
49: Movement(action=move_forward, start=76, duration=1, keypoints=[0.0, 1.0], motion_path=)
